0_NDVI,10_NDVI,11_NDVI,12_NDVI,13_NDVI,14_NDVI,15_NDVI,16_NDVI,17_NDVI,18_NDVI,19_NDVI,1_NDVI,20_NDVI,2_NDVI,3_NDVI,4_NDVI,5_NDVI,6_NDVI,7_NDVI,8_NDVI,9_NDVI,COD_COMUNA,NOM_COM,NOM_PROV,NOM_REG
0.44682174830000004,0.3999235886,0.396884713,0.3640568021,0.3103774393,0.4604968734,0.47615935310000007,0.3569208755,0.2543004788,0.3350040682,0.2618430758,0.43680757169999995,0.2908861812,0.43797865259999996,0.4442568551,0.42308111179999996,0.3616378469,0.44167248449999996,0.39112308830000003,0.3975891496,0.3585206326,5402,Cabildo,Petorca,Valparaíso
0.6722297567,0.6767186919,0.6709748178,0.6414919382000001,0.5011558517,0.7188200351999999,0.72680225,0.6049664273,0.43619235120000005,0.5369528592,0.4359205226,0.6609580038,0.5539970727,0.6953137637,0.6936729493,0.6815036581,0.5816499758,0.6933666779000001,0.6256550894,0.6404165682,0.6191671711,5403,Papudo,Petorca,Valparaíso
0.7120996707999999,0.702940513,0.7021673357,0.6741817504,0.5529776111,0.7475255794,0.7553712948,0.6339347286,0.47374120929999997,0.5686607646999999,0.45320161200000003,0.7001400910000001,0.5811742098,0.7287650736,0.7286920262,0.705667727,0.617891558,0.7273094084,0.6534199981,0.6731477205,0.6545200649,5405,Zapallar,Petorca,Valparaíso
0.6105140534,0.6062822627,0.6275115774,0.585050668,0.5286238882,0.6342732020999999,0.6476539591,0.5771478506000001,0.46919504349999996,0.5059193959999999,0.4463303922,0.6003349698,0.5466086029,0.6230204469999999,0.6418906055,0.6185855723,0.5705351815,0.6040454662,0.5873448902,0.5862379002,0.5665331331000001,5503,Hijuelas,Quillota,Valparaíso
0.6557236808,0.6595236927,0.6616064264,0.6403155736,0.576746219,0.6833302363,0.7024794029,0.6244254502,0.5347911201,0.5602692053,0.5018363255999999,0.6453091283,0.5980749588,0.6726100923,0.6836045083,0.6694591926,0.6251577554000001,0.6775024367,0.6427408137,0.6428338596,0.6378992887,5504,La Cruz,Quillota,Valparaíso
0.6053422474,0.589033096,0.6120553911,0.5656183926,0.49019139590000005,0.6201386741,0.6369911207,0.5577662968,0.42620877030000004,0.4641684989,0.3950011342,0.5850702713,0.498792142,0.6070425973,0.6262178266,0.5949225926,0.5435169969,0.5977602261,0.5594744856,0.5586120487,0.5456797278,5506,Nogales,Quillota,Valparaíso
0.6437611911,0.6437378421000001,0.6457758893000001,0.6281748843,0.540736573,0.6805258598,0.6849024714,0.6010929673,0.5118994338,0.5339249692,0.4484504548,0.6497534228999999,0.6067581209,0.6723539386999999,0.6813223514,0.6587295224999999,0.599548514,0.6596273609,0.620996957,0.6241311559,0.6107076559,5501,Quillota,Quillota,Valparaíso
0.5974789147,0.5992019357999999,0.6026506181,0.5780507351999999,0.5009026289,0.6132816101,0.6447094702999999,0.5611090844000001,0.4501252079,0.502541868,0.40953392899999996,0.5750610268,0.5206065333,0.6154985484,0.6327619268,0.6019391127,0.5457873052,0.6022019658,0.5741501939,0.5780127154,0.5688613303,5502,Calera,Quillota,Valparaíso
0.6415621326000001,0.6528905958,0.6533328677000001,0.6348091559000001,0.5391420503000001,0.7058963005,0.7133696701,0.6107081561,0.5299170894,0.5391428134,0.46504828260000003,0.6427619759000001,0.5991219714,0.6691082964999999,0.6804601797000001,0.6621121684,0.5866447857,0.6659232845,0.6117195088999999,0.6238168271,0.618132416,5105,Puchuncaví,Valparaíso,Valparaíso
0.5616723227,0.5905630484000001,0.6003752572000001,0.5766953989,0.4731029939,0.6497381123,0.6438181396,0.5430908823,0.4742486731,0.5130541223999999,0.42452100039999996,0.5907846035,0.5784239949,0.6168786613999999,0.6258416717,0.6026717772,0.5170876264,0.60021392,0.5518052189,0.5593105337,0.5630810322,5107,Quintero,Valparaíso,Valparaíso
0.6625463454,0.6147186032999999,0.6238919192,0.571177343,0.4729195852,0.6717253362000001,0.6944386601,0.5631538939,0.3924824912,0.5065182814,0.4046679446,0.6278167817,0.49376453000000003,0.6337257682999999,0.6561364664,0.6373331223,0.5581418605,0.6496592364,0.6004124411,0.5944146475,0.5804340718000001,5401,La Ligua,Petorca,Valparaíso
0.3431709586,0.2678786971,0.2649555075,0.2493655572,0.2257866719,0.3598592851,0.3772733662,0.2822732222,0.2116038599,0.2671897003,0.2114302678,0.3447728941,0.21952394599999997,0.3362943028,0.3374622611,0.33864671269999996,0.2831669492,0.323329437,0.30144306790000003,0.3054002775,0.2640696838,5404,Petorca,Petorca,Valparaíso
0.4975643927,0.5094528744,0.5036785377,0.4841731398,0.46951907600000004,0.5683214728,0.5695317161,0.48359236730000005,0.43332512319999994,0.5005708595,0.4270264899,0.4543486811,0.47519749769999997,0.4754861916,0.508143881,0.4945432234,0.446629415,0.5342100719,0.4865683083,0.4787957082,0.4509150706,5704,Panquehue,San Felipe,Valparaíso
0.5045065764,0.4791183175,0.4766965033,0.42198081949999994,0.39403641899999997,0.5166453805,0.5254603988,0.4361160586,0.3560422188,0.3993469752,0.3280699496,0.47990335889999997,0.3915376333,0.5020258409,0.5229414885,0.4856418629,0.4480110531,0.5014148114,0.4608198307,0.44894947,0.4316762382,5702,Catemu,San Felipe,Valparaíso
0.5486893193,0.5235719621,0.5313329716,0.48212339899999995,0.4372879521,0.5598226256,0.5724025518,0.45561160470000006,0.3747514601,0.45195058019999995,0.3632030193,0.5168979846999999,0.465673049,0.5421491173999999,0.5850342883999999,0.5504968205999999,0.48574175599999997,0.5606116812,0.49972833229999997,0.496384905,0.4575730989,5703,Llaillay,San Felipe,Valparaíso
0.1666582128,0.1899109526,0.1734425745,0.14993881109999999,0.1331994247,0.2022896203,0.22153367429999998,0.16670395799999999,0.1479836884,0.12675389339999998,0.146712266,0.19109313320000001,0.11280837550000002,0.1945812054,0.1968519722,0.18102647289999999,0.136907949,0.17632801409999999,0.1529005656,0.1777354758,0.1377745198,5705,Putaendo,San Felipe,Valparaíso
0.00033776916789999997,0.0383253339,0.024889997980000002,0.02956653533,0.02182701308,0.02825399823,0.05139026833,0.037230795389999995,0.04266172942,0.002248516897,0.04460462457,0.0218091997,0.007446209555999999,0.02961192866,0.023183819629999998,0.018149813929999998,-0.002787428951,0.01503599601,0.008211480048999999,0.02656675758,0.005319336427,5301,Los Andes,Los Andes,Valparaíso
0.4557514763,0.41146488589999997,0.4280540496,0.3540587919,0.3336411285,0.49813950290000003,0.4820725875,0.3302191964,0.2623717013,0.355629308,0.28117125740000004,0.4250797925,0.3356640929,0.42492863960000005,0.5134160931999999,0.46249659499999995,0.3794126854,0.4755924388,0.411956855,0.3957416813,0.3491478283,5303,Rinconada,Los Andes,Valparaíso
0.06562317856,0.109688509,0.08943255229,0.09222536625,0.07243718957999999,0.1007570004,0.12122516149999998,0.0989630039,0.1113935764,0.05088639539,0.1021637292,0.09201772767,0.04916443859,0.0994702404,0.09565208205,0.08827228218000001,0.05164297272,0.07696015154000001,0.06464949306,0.08613292708999999,0.05859751171,5304,San Esteban,Los Andes,Valparaíso
0.46174627069999996,0.4142852303,0.4116104139,0.37528455600000005,0.3596417596,0.4559012213,0.47087472010000003,0.372585993,0.3168179082,0.3599485881,0.3192809341,0.43110322859999994,0.33962617770000003,0.44638724679999997,0.4802773978,0.4561484299,0.3981249168,0.4659903719,0.42554028209999994,0.42033509379999995,0.3818421931,5701,San Felipe,San Felipe,Valparaíso
0.3350384738,0.3183186155,0.31760433849999997,0.2751146161,0.2577816715,0.3629754322,0.3736069174,0.28550367849999997,0.24121805250000003,0.2533639037,0.2645864884,0.3401957183,0.23788905359999998,0.32975498670000003,0.3766020939,0.3467335217,0.2884985584,0.34459502940000003,0.3061317299,0.3190591349,0.27472212209999997,5706,Santa María,San Felipe,Valparaíso
0.3235599927,0.3595074849,0.3385306395,0.289428975,0.2434074389,0.3942447267,0.3764529264,0.2704551669,0.22081690450000002,0.2555157303,0.2757173524,0.34151048700000003,0.2303804019,0.3313804201,0.3961662045,0.3408823646,0.27681986659999996,0.3565264389,0.30191851670000003,0.3044092069,0.2684823963,5302,Calle Larga,Los Andes,Valparaíso
0.6480505825999999,0.6189191869,0.6426476446,0.5863695575,0.5567050465000001,0.6736283054000001,0.6712830664,0.5935555499,0.4746285825,0.473324732,0.4323496959,0.6268951662000001,0.5651041414,0.6496356998,0.6683712046,0.6437108772,0.5977754047,0.6271075335,0.6194215927,0.6006819159,0.5756059293,5803,Olmué,Quillota,Valparaíso
0.621467448,0.6167679143,0.642211445,0.5796775164,0.5420962173,0.6573113474,0.6570435056,0.5950568221,0.5047170973999999,0.4713129681,0.44101264689999997,0.6210270411000001,0.5526983026,0.6313300324,0.6652138845000001,0.6291065512,0.5847960741,0.6108308437,0.6079880215,0.596022881,0.5660957511,5801,Quilpué,Valparaíso,Valparaíso
0.5964655849,0.587017548,0.6096349002,0.5256009718,0.4817442159,0.6223698107,0.6196495605,0.5156250837999999,0.44201158830000004,0.45947717720000003,0.3747935558,0.6026519338,0.518627252,0.6295537691,0.6504462978,0.6071515582,0.5487702462,0.5960871076,0.5693903460999999,0.5833637329,0.543152265,5804,Villa Alemana,Valparaíso,Valparaíso
0.6425914546,0.6470448284,0.6613146012,0.5998352213,0.5226892652,0.6794904914,0.6872529889000001,0.584016089,0.48303061459999996,0.5104795107,0.39913613070000004,0.6500866166,0.5889539645,0.6707729485,0.6879419165999999,0.6523371742,0.5862102138999999,0.6416508687,0.6126894396,0.6179992374000001,0.5906720658,5802,Limache,Quillota,Valparaíso
0.6411661314,0.6363383598000001,0.6493105935,0.6251390983,0.5849631262,0.6743774260000001,0.6677268407,0.6231437487,0.565443487,0.5123346958,0.5386598936,0.6693519346,0.5690896375000001,0.6667917032999999,0.673446662,0.6616591228,0.6284562912,0.6244103039,0.6114234335000001,0.6032054556,0.6029879315,5101,Valparaíso,Valparaíso,Valparaíso
0.6029627034,0.5996451634,0.5944085392,0.5578150698000001,0.4774857623,0.6378309293000001,0.6475438087000001,0.5497821217,0.449659325,0.4850152884,0.3869570199,0.6284394892999999,0.5502193122,0.6421605825,0.6585008273,0.6272752244,0.5588869041,0.6200705653,0.5769695447000001,0.5737320712,0.554303845,5103,Concón,Valparaíso,Valparaíso
0.5177575967,0.5064773007,0.5291477837999999,0.5021512646,0.456568289,0.5533482449,0.555660762,0.49244929439999996,0.4379798317,0.43357776789999997,0.41658921010000005,0.5238981704,0.47761948979999996,0.5259562686,0.5592698164000001,0.5480121933000001,0.4919942135,0.5356975433,0.5058865512,0.5148855998,0.5008413071,5109,Viña del Mar,Valparaíso,Valparaíso
0.6444570435,0.6359178549,0.6352247124,0.6050653134,0.5429763965,0.6753945163,0.6778703480999999,0.5950272036,0.5231445324999999,0.5314523745,0.4956122819,0.6388521194,0.5762327159,0.6479011183,0.6922622655999999,0.6375349962,0.5667146329,0.6286467558000001,0.5978673735000001,0.5972858919999999,0.5938964194,5602,Algarrobo,San Antonio,Valparaíso
0.6497656001000001,0.6518376172,0.6619619603,0.605606336,0.5355297845,0.6896221364,0.7144393408,0.6051996446,0.5105265301999999,0.5561745864000001,0.49291151149999995,0.6618671875,0.6129311624,0.689786046,0.7148040574,0.6671441415,0.6096848797,0.6642230946,0.6281114896,0.603620079,0.5978757327,5603,Cartagena,San Antonio,Valparaíso
0.6404013948,0.6338237359,0.6424018877000001,0.6201392046,0.5497371527,0.6633280917,0.6665368776,0.6029208368,0.5156862285,0.5478333738000001,0.5257453793,0.6487719027,0.5755664888,0.6505883429,0.6817275237,0.6611519422000001,0.6195159946,0.6368705605,0.6175749017,0.6241860136999999,0.6015923262,5605,El Tabo,San Antonio,Valparaíso
0.6299364947,0.6581429113999999,0.6422040436,0.6510275315,0.5367578461,0.6772837273,0.7016482985,0.5832433184000001,0.5260316554,0.5691122691,0.5126590493,0.6637618784,0.6171522321999999,0.697081208,0.6979071178,0.6498936284000001,0.5861346587,0.65898378,0.6049064016,0.6213901574,0.6022791650999999,5601,San Antonio,San Antonio,Valparaíso
0.6218908078000001,0.6028025634999999,0.6025767630000001,0.5717883627,0.5398627114,0.6176479544,0.6232230593,0.5782639467,0.5193301703000001,0.5167886113,0.5333520934999999,0.6211781985,0.5356041140000001,0.6207315948000001,0.6411083578,0.6259714207,0.5660282928,0.5844430651,0.5911847363,0.5863979685,0.5834495493,5604,El Quisco,San Antonio,Valparaíso
0.6699613515,0.6791078128,0.6874730082,0.6577436302,0.5856387308000001,0.7176887050999999,0.7137199057,0.6369539732999999,0.5715465219,0.5624386271999999,0.5207316613,0.6935094379,0.6231846886,0.7157134025999999,0.7300300886,0.6911864189,0.6270437074999999,0.6723143618,0.6468852321999999,0.6605787153,0.6360865582999999,5102,Casablanca,Valparaíso,Valparaíso
0.6341889673,0.6587043073,0.654835768,0.677799433,0.5639774648,0.6916017713,0.7024343081,0.6042517267,0.582839491,0.5940175911000001,0.6039511782,0.6543120823,0.6506476271,0.6930929635,0.6919028087,0.6588311575,0.5994271733,0.6604585546,0.6200403593,0.6225868994,0.6184503031,5606,Santo Domingo,San Antonio,Valparaíso
0.5586669385999999,0.5492339433,0.541287842,0.4823694846,0.4297147225,0.5819048591,0.6056628087,0.43027105849999997,0.3515408182,0.4207336962,0.2862993391,0.5316630427,0.46004275660000005,0.5600894338,0.614165953,0.5439507925,0.4708415467,0.5808783464,0.5050738596000001,0.5090189385,0.4678111199,1330,Tiltil,Chacabuco,Metropolitana de Santiago
0.5505373155000001,0.5222061051,0.515217955,0.46692013800000004,0.3774344948,0.5466090203,0.5524327575,0.4290122429,0.3194693272,0.4287120919,0.3045467779,0.5375020474,0.4498644507,0.5436738062,0.5754184267,0.5412759055999999,0.467471593,0.5620795912,0.49512769019999997,0.4866641019,0.4232112879,1312,Pudahuel,Santiago,Metropolitana de Santiago
0.42202536069999996,0.4284447503,0.4207380894,0.3872200349,0.31942463050000003,0.47705136130000003,0.49017214620000005,0.3156923177,0.2810553021,0.3484928891,0.27339045630000003,0.43137649330000005,0.3242619755,0.4538774203,0.49470113629999996,0.4361486794,0.3623016832,0.47468723890000003,0.3901907386,0.3966299772,0.352590281,1330,Colina,Chacabuco,Metropolitana de Santiago
0.5660731348,0.551420643,0.540055717,0.49402779659999996,0.423634487,0.5752505606,0.5970348239,0.450272389,0.37019933299999996,0.4481651162,0.33190391220000004,0.5454239631000001,0.48938893260000005,0.5759122461,0.6148028817000001,0.5626030609,0.483197834,0.5759333939,0.5194684759,0.515369475,0.46708471440000005,1330,Lampa,Chacabuco,Metropolitana de Santiago
0.45307529649999995,0.4024426113,0.4111586697,0.38192944269999995,0.29724775340000004,0.4414995229,0.45836427,0.3213103147,0.2586107177,0.3322977668,0.22175930459999998,0.42891908430000003,0.33318284680000004,0.4736946706,0.5057927538,0.45348710039999995,0.3664698065,0.46978335610000005,0.4086093084,0.4186766545,0.3470317111,1312,Quilicura,Santiago,Metropolitana de Santiago
0.2161488391,0.1763369451,0.194567833,0.18454455009999998,0.165609282,0.1951442169,0.1905706009,0.1649900516,0.1571395088,0.17998895520000002,0.14917167039999998,0.1940919542,0.1674324573,0.1999243309,0.2199067666,0.20556416749999998,0.1828184994,0.2070457379,0.1857220144,0.24939956470000002,0.1708148715,1310,Conchalí,Santiago,Metropolitana de Santiago
0.3315118317,0.2910597513,0.30279047989999996,0.2784984183,0.2143548949,0.30618711309999996,0.3303180943,0.2419765186,0.1984624545,0.2500666581,0.17449078380000002,0.3167425645,0.2597470678,0.33911565,0.3663962437,0.3451329331,0.3059527118,0.3420476135,0.2994557724,0.3184928171,0.26503205560000004,1312,Renca,Santiago,Metropolitana de Santiago
0.4798031363,0.47862820469999995,0.4755410941,0.4562008294,0.35741195859999997,0.5205242872,0.5576785651999999,0.3739629059,0.3798206242,0.425542925,0.3221650478,0.473146595,0.4201030656,0.5294375560000001,0.5549297705,0.4849390652,0.43862171520000004,0.5294974905000001,0.4447710943,0.47719299680000005,0.40567323040000003,1310,Huechuraba,Santiago,Metropolitana de Santiago
